D:\1.2 MATRA-AKSARA-MANAGEMENT\RICHIRAD-TRADINGCOMM\richirad-telegrambot\bot\flow_user.py:285: PTBUserWarning: If 'per_message=False', 'CallbackQueryHandler' will not be tracked for every message. Read this FAQ entry to learn more about the per_* settings: https://github.com/python-telegram-bot/python-telegram-bot/wiki/Frequently-Asked-Questions#what-do-the-per_-settings-in-conversationhandler-do.
  return ConversationHandler(
2026-08-27 22:01:54,236 INFO richirad-vip-bot: Bot mulai polling... (Ctrl+C untuk stop)
2026-08-27 22:01:54,936 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getMe "HTTP/1.1 200 OK"
2026-08-27 22:01:55,138 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/deleteWebhook "HTTP/1.1 200 OK"
2026-08-27 22:01:55,140 INFO telegram.ext.Application: Application started
2026-08-27 22:02:05,809 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:02:16,059 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:02:26,258 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:02:36,470 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:02:46,978 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:02:57,741 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:03:07,948 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:03:18,157 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:03:28,680 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:03:38,905 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:03:49,122 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:03:59,562 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
2026-08-27 22:04:10,055 INFO httpx: HTTP Request: POST https://api.telegram.org/bot8848326507:AAFrBJjzXqz4rh3kfgRHadWor6KnNzjOByY/getUpdates "HTTP/1.1 200 OK"
